iter_id,1::relaxation: type,1::relaxation: sweeps,1::relaxation: damping factor,1::relaxation: inner damping factor,1::chebyshev: degree,1::chebyshev: ratio eigenvalue,1::chebyshev: eigenvalue max iterations,4::relaxation: type,4::relaxation: sweeps,4::relaxation: damping factor,4::relaxation: inner damping factor,4::chebyshev: degree,4::chebyshev: ratio eigenvalue,4::chebyshev: eigenvalue max iterations,time_NOX,time_AlbanyTotal,passed
0,Two-stage Gauss-Seidel,2,,0.9839,,,,Two-stage Gauss-Seidel,2,,0.9834,,,,inf,inf,FALSE
1,,,,,2,24.4181,105,Two-stage Gauss-Seidel,2,,1.0463,,,,inf,inf,FALSE
2,,,,,2,25.7765,87,Two-stage Gauss-Seidel,4,,1.0096,,,,40.8623,47.1853,TRUE
3,,,,,1,16.5463,110,Two-stage Gauss-Seidel,4,,1.1204,,,,inf,inf,FALSE
4,,,,,1,21.1054,110,MT Gauss-Seidel,4,0.8109,,,,,inf,inf,FALSE
5,,,,,1,12.0044,115,MT Gauss-Seidel,2,1.1468,,,,,inf,inf,FALSE
6,MT Gauss-Seidel,1,0.8466,,,,,,,,,4,15.292,109,22.8167,28.9722,TRUE
7,Two-stage Gauss-Seidel,2,,1.1482,,,,,,,,2,18.9026,91,inf,inf,FALSE
8,Two-stage Gauss-Seidel,1,,0.9715,,,,,,,,1,28.3968,115,inf,inf,FALSE
9,MT Gauss-Seidel,1,1.1521,,,,,Two-stage Gauss-Seidel,2,,1.0477,,,,inf,inf,FALSE
10,,,,,1,13.889,112,MT Gauss-Seidel,3,0.9948,,,,,inf,inf,FALSE
11,,,,,2,18.6598,109,,,,,3,26.2824,81,inf,inf,FALSE
12,MT Gauss-Seidel,1,1.0835,,,,,,,,,1,21.7703,86,inf,inf,FALSE
13,MT Gauss-Seidel,2,1.0078,,,,,MT Gauss-Seidel,2,0.9323,,,,,20.23021,25.9938,TRUE
14,,,,,1,23.1899,102,Two-stage Gauss-Seidel,2,,1.0057,,,,45.1405,52.024,TRUE
15,,,,,2,29.8647,100,Two-stage Gauss-Seidel,1,,1.033,,,,inf,inf,FALSE
16,Two-stage Gauss-Seidel,2,,1.0696,,,,MT Gauss-Seidel,1,1.0493,,,,,inf,inf,FALSE
17,Two-stage Gauss-Seidel,2,,1.0612,,,,MT Gauss-Seidel,4,0.8846,,,,,inf,inf,FALSE
18,MT Gauss-Seidel,1,0.9244,,,,,Two-stage Gauss-Seidel,2,,1.1978,,,,15.42164,21.1721,TRUE
