iter_id,1::relaxation: type,1::relaxation: sweeps,1::relaxation: damping factor,1::relaxation: inner damping factor,1::chebyshev: degree,1::chebyshev: ratio eigenvalue,1::chebyshev: eigenvalue max iterations,4::relaxation: type,4::relaxation: sweeps,4::relaxation: damping factor,4::relaxation: inner damping factor,4::chebyshev: degree,4::chebyshev: ratio eigenvalue,4::chebyshev: eigenvalue max iterations,time_NOX,time_AlbanyTotal,passed
52,MT Gauss-Seidel,2,1.0204,,,,,MT Gauss-Seidel,1,0.8248,,,,,6.3423,8.63428,TRUE
53,MT Gauss-Seidel,2,0.9726,,,,,,,,,2,15.1115,90,5.089505,7.38714,TRUE
54,MT Gauss-Seidel,1,0.9517,,,,,Two-stage Gauss-Seidel,2,,1.024,,,,4.299991,6.55631,TRUE
55,MT Gauss-Seidel,2,0.9718,,,,,Two-stage Gauss-Seidel,1,,1.0429,,,,7.478561,9.75592,TRUE
56,Two-stage Gauss-Seidel,2,,0.9295,,,,MT Gauss-Seidel,3,1.0552,,,,,inf,inf,FALSE
57,Two-stage Gauss-Seidel,1,,1.0095,,,,MT Gauss-Seidel,4,1.0506,,,,,inf,inf,FALSE
58,Two-stage Gauss-Seidel,1,,0.8522,,,,,,,,3,20.6279,108,12.190495,14.5559,TRUE
59,Two-stage Gauss-Seidel,1,,0.9305,,,,Two-stage Gauss-Seidel,4,,1.0971,,,,inf,inf,FALSE
60,MT Gauss-Seidel,1,0.9238,,,,,Two-stage Gauss-Seidel,4,,1.103,,,,5.733665,8.00431,TRUE
61,MT Gauss-Seidel,2,1.0489,,,,,,,,,3,16.4748,113,4.65294,6.90247,TRUE
62,,,,,1,18.81,103,MT Gauss-Seidel,2,0.8259,,,,,3.99046,6.23872,TRUE
63,MT Gauss-Seidel,2,0.9993,,,,,MT Gauss-Seidel,4,1.0947,,,,,3.754583,6.01548,TRUE
64,,,,,1,10.7779,83,,,,,2,12.0326,107,4.288287,6.53739,TRUE
65,,,,,2,14.9421,110,Two-stage Gauss-Seidel,2,,0.8232,,,,3.106466,5.36235,TRUE
66,MT Gauss-Seidel,1,0.9493,,,,,MT Gauss-Seidel,1,1.0797,,,,,4.287984,6.54183,TRUE
67,Two-stage Gauss-Seidel,2,,1.0749,,,,Two-stage Gauss-Seidel,2,,1.013,,,,inf,inf,FALSE
68,Two-stage Gauss-Seidel,2,,0.8954,,,,,,,,2,28.4274,83,inf,inf,FALSE
69,,,,,2,24.2625,95,Two-stage Gauss-Seidel,3,,0.9829,,,,3.098294,5.34925,TRUE
70,Two-stage Gauss-Seidel,1,,0.9723,,,,Two-stage Gauss-Seidel,2,,1.0283,,,,inf,inf,FALSE
71,Two-stage Gauss-Seidel,1,,1.0871,,,,Two-stage Gauss-Seidel,1,,1.1254,,,,inf,inf,FALSE
72,MT Gauss-Seidel,2,0.9712,,,,,Two-stage Gauss-Seidel,3,,1.1519,,,,10.380543,12.6796,TRUE
73,Two-stage Gauss-Seidel,2,,0.985,,,,,,,,3,26.5596,108,inf,inf,FALSE
74,MT Gauss-Seidel,1,1.1094,,,,,,,,,4,22.5311,95,4.00879,6.31321,TRUE
75,,,,,1,24.8459,88,MT Gauss-Seidel,2,0.9473,,,,,3.697428,5.99967,TRUE
76,,,,,2,14.1543,109,,,,,4,26.7048,97,2.95864,5.19846,TRUE
77,MT Gauss-Seidel,2,1.0693,,,,,Two-stage Gauss-Seidel,1,,1.0409,,,,7.537325,9.82118,TRUE
78,Two-stage Gauss-Seidel,1,,0.843,,,,Two-stage Gauss-Seidel,1,,1.0248,,,,12.116393,14.4416,TRUE
79,,,,,1,28.7929,105,MT Gauss-Seidel,2,0.832,,,,,3.957499,6.22209,TRUE
80,Two-stage Gauss-Seidel,1,,0.9553,,,,,,,,4,23.4147,89,inf,inf,FALSE
81,,,,,1,20.2318,87,Two-stage Gauss-Seidel,2,,1.0573,,,,5.796647,8.06198,TRUE
82,Two-stage Gauss-Seidel,1,,0.9953,,,,Two-stage Gauss-Seidel,2,,0.8467,,,,inf,inf,FALSE
83,,,,,1,12.3143,91,Two-stage Gauss-Seidel,4,,0.9873,,,,3.775968,6.10284,TRUE
84,,,,,1,22.5409,100,MT Gauss-Seidel,1,0.9156,,,,,4.25382,6.50705,TRUE
85,MT Gauss-Seidel,1,1.0378,,,,,,,,,3,19.1077,105,3.558326,5.83374,TRUE
86,MT Gauss-Seidel,1,1.0281,,,,,,,,,3,26.5461,115,3.53718,5.813,TRUE
87,,,,,1,13.594,91,,,,,4,11.4798,87,3.60908,5.91146,TRUE
88,MT Gauss-Seidel,1,0.9248,,,,,Two-stage Gauss-Seidel,3,,0.9993,,,,3.934585,6.3023,TRUE
89,MT Gauss-Seidel,2,0.9514,,,,,,,,,2,20.127,96,5.030436,7.31885,TRUE
90,MT Gauss-Seidel,1,0.9552,,,,,MT Gauss-Seidel,4,0.8077,,,,,3.55378,5.84429,TRUE
91,Two-stage Gauss-Seidel,1,,1.1664,,,,Two-stage Gauss-Seidel,1,,1.0117,,,,inf,inf,FALSE
92,Two-stage Gauss-Seidel,1,,1.0451,,,,MT Gauss-Seidel,1,1.0616,,,,,inf,inf,FALSE
93,MT Gauss-Seidel,1,0.9559,,,,,Two-stage Gauss-Seidel,2,,0.969,,,,3.779572,6.11428,TRUE
94,Two-stage Gauss-Seidel,2,,0.8462,,,,MT Gauss-Seidel,4,0.9795,,,,,inf,inf,FALSE
95,MT Gauss-Seidel,2,1.0703,,,,,MT Gauss-Seidel,1,1.0056,,,,,5.909309,8.18446,TRUE
96,,,,,2,14.5017,94,Two-stage Gauss-Seidel,1,,0.8162,,,,4.079265,6.34274,TRUE
97,Two-stage Gauss-Seidel,1,,0.9898,,,,Two-stage Gauss-Seidel,1,,1.0838,,,,inf,inf,FALSE
98,,,,,1,15.6864,116,Two-stage Gauss-Seidel,3,,1.0683,,,,5.267747,7.51191,TRUE
99,Two-stage Gauss-Seidel,1,,1.0328,,,,,,,,2,23.7443,80,inf,inf,FALSE
