iter_id,1::relaxation: type,1::relaxation: sweeps,1::relaxation: damping factor,1::relaxation: inner damping factor,1::chebyshev: degree,1::chebyshev: ratio eigenvalue,1::chebyshev: eigenvalue max iterations,4::relaxation: type,4::relaxation: sweeps,4::relaxation: damping factor,4::relaxation: inner damping factor,4::chebyshev: degree,4::chebyshev: ratio eigenvalue,4::chebyshev: eigenvalue max iterations,time_NOX,time_AlbanyTotal,passed
54,Two-stage Gauss-Seidel,1,,0.8534,,,,,,,,2,27.4068,90,inf,inf,FALSE
55,MT Gauss-Seidel,2,0.8973,,,,,Two-stage Gauss-Seidel,3,,1.0481,,,,22.35977,31.577,TRUE
56,,,,,2,13.7482,88,MT Gauss-Seidel,1,1.0487,,,,,17.73529,27.0619,TRUE
57,Two-stage Gauss-Seidel,2,,1.0188,,,,Two-stage Gauss-Seidel,1,,1.1156,,,,inf,inf,FALSE
58,Two-stage Gauss-Seidel,1,,0.9401,,,,Two-stage Gauss-Seidel,3,,1.1043,,,,inf,inf,FALSE
59,,,,,1,23.7671,90,MT Gauss-Seidel,3,0.863,,,,,24.99747,33.7624,TRUE
60,Two-stage Gauss-Seidel,2,,1.0181,,,,,,,,2,21.783,85,inf,inf,FALSE
61,,,,,2,19.469,99,,,,,3,25.7967,116,16.71489,25.704,TRUE
62,,,,,1,17.914,101,,,,,1,12.2501,110,19.45399,28.6047,TRUE
63,,,,,2,22.3329,108,,,,,1,22.8209,93,18.7054,27.9109,TRUE
64,,,,,1,16.6371,96,Two-stage Gauss-Seidel,3,,0.9025,,,,19.83247,28.4457,TRUE
65,MT Gauss-Seidel,2,0.8903,,,,,MT Gauss-Seidel,2,1.1101,,,,,20.71988,30.2115,TRUE
66,MT Gauss-Seidel,1,1.0032,,,,,Two-stage Gauss-Seidel,1,,1.1787,,,,26.37372,35.3714,TRUE
67,,,,,2,29.0367,100,Two-stage Gauss-Seidel,4,,1.0328,,,,20.04,29.1797,TRUE
68,Two-stage Gauss-Seidel,2,,0.9875,,,,,,,,2,12.0442,92,inf,inf,FALSE
69,Two-stage Gauss-Seidel,2,,1.0559,,,,MT Gauss-Seidel,3,0.9738,,,,,inf,inf,FALSE
70,Two-stage Gauss-Seidel,1,,0.9225,,,,,,,,4,16.0145,93,inf,inf,FALSE
71,Two-stage Gauss-Seidel,1,,0.9078,,,,Two-stage Gauss-Seidel,3,,1.1255,,,,inf,inf,FALSE
72,,,,,2,25.2539,92,MT Gauss-Seidel,4,1.0541,,,,,21.23783,30.586,TRUE
73,MT Gauss-Seidel,2,1.115,,,,,Two-stage Gauss-Seidel,3,,0.9867,,,,20.26989,30.0567,TRUE
74,MT Gauss-Seidel,2,1.1408,,,,,MT Gauss-Seidel,1,1.0975,,,,,22.70733,31.3935,TRUE
75,Two-stage Gauss-Seidel,2,,0.9704,,,,Two-stage Gauss-Seidel,2,,1.0545,,,,inf,inf,FALSE
76,,,,,1,21.7055,110,,,,,3,25.7121,104,18.85353,27.9801,TRUE
77,Two-stage Gauss-Seidel,2,,1.1064,,,,MT Gauss-Seidel,3,1.0429,,,,,inf,inf,FALSE
78,MT Gauss-Seidel,1,1.019,,,,,,,,,1,14.3244,110,24.2389,32.7633,TRUE
79,Two-stage Gauss-Seidel,1,,0.9771,,,,MT Gauss-Seidel,4,1.0095,,,,,inf,inf,FALSE
80,MT Gauss-Seidel,1,1.0594,,,,,Two-stage Gauss-Seidel,1,,1.185,,,,26.80697,35.9413,TRUE
81,MT Gauss-Seidel,1,0.9536,,,,,Two-stage Gauss-Seidel,4,,1.1538,,,,31.60468,40.7298,TRUE
82,Two-stage Gauss-Seidel,2,,1.1506,,,,,,,,2,19.8833,112,inf,inf,FALSE
83,Two-stage Gauss-Seidel,1,,0.8319,,,,Two-stage Gauss-Seidel,2,,1.1502,,,,43.5184,52.6108,TRUE
84,,,,,2,21.6006,111,MT Gauss-Seidel,4,0.8361,,,,,22.07434,31.3023,TRUE
85,MT Gauss-Seidel,2,1.0744,,,,,Two-stage Gauss-Seidel,4,,0.8913,,,,18.86198,27.662,TRUE
86,,,,,2,10.4534,118,Two-stage Gauss-Seidel,2,,1.0373,,,,20.05003,29.3464,TRUE
87,MT Gauss-Seidel,1,0.936,,,,,Two-stage Gauss-Seidel,1,,1.1891,,,,27.75636,37.2313,TRUE
88,,,,,1,27.3167,89,,,,,3,25.3951,99,18.64707,27.8862,TRUE
89,MT Gauss-Seidel,1,1.0599,,,,,,,,,1,13.9085,81,24.10036,32.9867,TRUE
90,MT Gauss-Seidel,1,0.9819,,,,,Two-stage Gauss-Seidel,3,,1.0439,,,,20.71168,30.2131,TRUE
91,MT Gauss-Seidel,1,0.9225,,,,,MT Gauss-Seidel,1,0.9613,,,,,21.14147,30.5618,TRUE
92,MT Gauss-Seidel,2,1.0022,,,,,Two-stage Gauss-Seidel,1,,1.1021,,,,27.48021,36.6318,TRUE
93,,,,,2,23.5268,104,Two-stage Gauss-Seidel,3,,1.0242,,,,18.13216,27.919,TRUE
94,Two-stage Gauss-Seidel,2,,0.9866,,,,Two-stage Gauss-Seidel,2,,0.8628,,,,inf,inf,FALSE
95,,,,,1,14.4467,94,,,,,3,23.4627,93,18.66673,27.5957,TRUE
96,Two-stage Gauss-Seidel,1,,1.0598,,,,,,,,4,15.784,116,inf,inf,FALSE
97,,,,,1,15.9186,93,,,,,2,23.0671,85,18.58019,27.5237,TRUE
98,,,,,1,10.0691,100,Two-stage Gauss-Seidel,2,,0.9499,,,,18.75053,27.7492,TRUE
99,MT Gauss-Seidel,1,0.848,,,,,Two-stage Gauss-Seidel,3,,0.8975,,,,18.47609,27.9571,TRUE
