iter_id,1::relaxation: type,1::relaxation: sweeps,1::relaxation: damping factor,1::relaxation: inner damping factor,1::chebyshev: degree,1::chebyshev: ratio eigenvalue,1::chebyshev: eigenvalue max iterations,4::relaxation: type,4::relaxation: sweeps,4::relaxation: damping factor,4::relaxation: inner damping factor,4::chebyshev: degree,4::chebyshev: ratio eigenvalue,4::chebyshev: eigenvalue max iterations,time_NOX,time_AlbanyTotal,passed
0,Two-stage Gauss-Seidel,1,,0.9579,,,,MT Gauss-Seidel,2,0.9438,,,,,inf,inf,FALSE
1,,,,,2,24.0335,100,Two-stage Gauss-Seidel,1,,1.1597,,,,21.42024,30.6234,TRUE
2,Two-stage Gauss-Seidel,2,,1.1827,,,,,,,,1,20.8183,86,inf,inf,FALSE
3,Two-stage Gauss-Seidel,1,,1.0302,,,,MT Gauss-Seidel,2,1.0741,,,,,inf,inf,FALSE
4,,,,,1,15.8762,110,MT Gauss-Seidel,2,1.1066,,,,,22.59351,31.4989,TRUE
5,Two-stage Gauss-Seidel,2,,1.0927,,,,MT Gauss-Seidel,3,0.9232,,,,,inf,inf,FALSE
6,Two-stage Gauss-Seidel,1,,1.0688,,,,Two-stage Gauss-Seidel,2,,1.0078,,,,inf,inf,FALSE
7,,,,,2,14.7939,115,MT Gauss-Seidel,2,0.9118,,,,,18.97002,27.9211,TRUE
8,Two-stage Gauss-Seidel,1,,1.0144,,,,,,,,2,17.5902,80,inf,inf,FALSE
9,MT Gauss-Seidel,1,0.9925,,,,,MT Gauss-Seidel,3,0.8905,,,,,22.69258,32.7707,TRUE
10,MT Gauss-Seidel,2,1.0612,,,,,MT Gauss-Seidel,1,0.9498,,,,,22.99446,32.9672,TRUE
11,MT Gauss-Seidel,1,0.851,,,,,,,,,4,22.7386,108,18.52316,27.6695,TRUE
12,MT Gauss-Seidel,2,1.1511,,,,,MT Gauss-Seidel,1,1.0311,,,,,23.11651,33.1006,TRUE
13,,,,,1,24.2239,93,MT Gauss-Seidel,3,0.9837,,,,,25.09855,33.9676,TRUE
14,Two-stage Gauss-Seidel,2,,1.0622,,,,MT Gauss-Seidel,4,1.1095,,,,,inf,inf,FALSE
15,,,,,2,14.5545,98,,,,,2,21.3706,100,16.77581,26.0717,TRUE
16,Two-stage Gauss-Seidel,2,,0.9733,,,,,,,,3,15.4502,91,inf,inf,FALSE
17,,,,,1,20.7981,82,Two-stage Gauss-Seidel,1,,0.9841,,,,19.76718,28.6739,TRUE
18,Two-stage Gauss-Seidel,2,,0.8528,,,,,,,,3,22.3372,116,inf,inf,FALSE
19,,,,,1,15.0972,108,Two-stage Gauss-Seidel,3,,1.0432,,,,22.37593,30.8866,TRUE
20,,,,,2,22.7612,80,Two-stage Gauss-Seidel,2,,1.0251,,,,18.45854,27.506,TRUE
21,MT Gauss-Seidel,2,0.8624,,,,,,,,,3,10.4538,108,20.28179,29.3397,TRUE
22,,,,,1,28.1737,81,,,,,1,26.5856,111,19.17209,27.8021,TRUE
23,MT Gauss-Seidel,1,0.9465,,,,,Two-stage Gauss-Seidel,4,,1.0509,,,,23.39016,32.4504,TRUE
24,MT Gauss-Seidel,1,0.8134,,,,,Two-stage Gauss-Seidel,4,,0.9743,,,,19.29154,28.5832,TRUE
25,Two-stage Gauss-Seidel,1,,0.8769,,,,MT Gauss-Seidel,1,0.9405,,,,,inf,inf,FALSE
26,,,,,1,10.9948,101,Two-stage Gauss-Seidel,4,,0.8707,,,,20.1258,29.7585,TRUE
27,Two-stage Gauss-Seidel,1,,0.8191,,,,MT Gauss-Seidel,1,0.8799,,,,,33.10954,42.324,TRUE
28,Two-stage Gauss-Seidel,2,,0.9461,,,,,,,,2,29.9703,82,inf,inf,FALSE
29,,,,,1,19.3863,107,,,,,3,19.0011,114,18.72443,27.5862,TRUE
30,Two-stage Gauss-Seidel,2,,0.9504,,,,Two-stage Gauss-Seidel,3,,0.8508,,,,inf,inf,FALSE
31,MT Gauss-Seidel,2,1.1151,,,,,,,,,3,21.4439,103,19.7844,29.5295,TRUE
32,,,,,2,11.0923,90,Two-stage Gauss-Seidel,1,,1.0807,,,,19.24484,28.5337,TRUE
33,MT Gauss-Seidel,2,0.9721,,,,,,,,,4,25.4861,93,18.89397,27.875,TRUE
34,MT Gauss-Seidel,2,0.8626,,,,,,,,,1,20.2849,87,27.16613,36.1227,TRUE
35,,,,,2,11.2722,99,MT Gauss-Seidel,1,1.0341,,,,,18.44848,27.2654,TRUE
36,,,,,2,24.1691,113,Two-stage Gauss-Seidel,2,,1.0555,,,,20.91866,29.7087,TRUE
37,,,,,1,18.6751,115,,,,,4,27.5911,88,19.08493,28.2172,TRUE
38,MT Gauss-Seidel,2,0.8265,,,,,MT Gauss-Seidel,1,1.1419,,,,,22.00675,31.4466,TRUE
39,,,,,2,19.2615,108,Two-stage Gauss-Seidel,4,,1.0488,,,,21.27857,30.2902,TRUE
40,,,,,2,12.9234,114,,,,,1,25.0157,111,19.03724,27.7191,TRUE
41,MT Gauss-Seidel,2,0.911,,,,,Two-stage Gauss-Seidel,2,,1.0312,,,,24.87406,33.9257,TRUE
42,Two-stage Gauss-Seidel,1,,1.0088,,,,,,,,4,12.0448,112,inf,inf,FALSE
43,MT Gauss-Seidel,2,0.9739,,,,,Two-stage Gauss-Seidel,2,,1.1272,,,,35.17045,44.1093,TRUE
44,MT Gauss-Seidel,2,1.0679,,,,,Two-stage Gauss-Seidel,1,,1.0244,,,,25.10343,34.7198,TRUE
45,,,,,1,26.0407,102,,,,,1,14.6487,84,19.44326,28.8238,TRUE
46,,,,,1,19.443,97,Two-stage Gauss-Seidel,4,,1.069,,,,26.87483,36.0394,TRUE
47,Two-stage Gauss-Seidel,1,,1.0108,,,,Two-stage Gauss-Seidel,1,,0.973,,,,inf,inf,FALSE
48,,,,,1,13.9961,101,Two-stage Gauss-Seidel,1,,1.012,,,,20.14533,29.1804,TRUE
49,Two-stage Gauss-Seidel,2,,1.0878,,,,Two-stage Gauss-Seidel,2,,0.9354,,,,inf,inf,FALSE
50,,,,,1,26.7345,98,,,,,4,23.422,85,18.77155,28.3006,TRUE
51,,,,,2,27.572,91,,,,,4,25.6539,94,16.30672,24.7143,TRUE
52,MT Gauss-Seidel,2,0.9054,,,,,MT Gauss-Seidel,1,0.9657,,,,,22.70477,31.7243,TRUE
53,,,,,1,22.5788,83,MT Gauss-Seidel,3,0.9533,,,,,25.02789,34.2183,TRUE
