iter_id,1::relaxation: type,1::relaxation: sweeps,1::relaxation: damping factor,1::relaxation: inner damping factor,1::chebyshev: degree,1::chebyshev: ratio eigenvalue,1::chebyshev: eigenvalue max iterations,4::relaxation: type,4::relaxation: sweeps,4::relaxation: damping factor,4::relaxation: inner damping factor,4::chebyshev: degree,4::chebyshev: ratio eigenvalue,4::chebyshev: eigenvalue max iterations,time_NOX,time_AlbanyTotal,passed
46,Two-stage Gauss-Seidel,2,,0.926,,,,Two-stage Gauss-Seidel,4,,1.0884,,,,inf,inf,FALSE
47,MT Gauss-Seidel,2,0.9869,,,,,,,,,2,26.339,112,2.614772,5.53477,TRUE
48,,,,,1,11.8148,107,Two-stage Gauss-Seidel,1,,0.9861,,,,inf,inf,FALSE
49,MT Gauss-Seidel,1,0.9853,,,,,Two-stage Gauss-Seidel,2,,1.0015,,,,2.671277,6.20664,TRUE
50,MT Gauss-Seidel,1,1.0444,,,,,Two-stage Gauss-Seidel,3,,1.1732,,,,inf,inf,FALSE
51,Two-stage Gauss-Seidel,2,,0.9561,,,,,,,,2,26.7479,115,inf,inf,FALSE
52,MT Gauss-Seidel,2,0.9838,,,,,MT Gauss-Seidel,1,1.0271,,,,,2.167346,5.00439,TRUE
53,MT Gauss-Seidel,2,0.9857,,,,,Two-stage Gauss-Seidel,2,,1.004,,,,2.470051,5.74546,TRUE
54,Two-stage Gauss-Seidel,1,,1.0067,,,,MT Gauss-Seidel,1,0.9885,,,,,inf,inf,FALSE
55,Two-stage Gauss-Seidel,2,,1.0741,,,,Two-stage Gauss-Seidel,1,,1.1038,,,,inf,inf,FALSE
56,MT Gauss-Seidel,1,0.8579,,,,,,,,,2,17.1942,118,2.531818,5.62011,TRUE
57,MT Gauss-Seidel,2,0.8191,,,,,Two-stage Gauss-Seidel,2,,0.8642,,,,2.036044,5.00067,TRUE
58,MT Gauss-Seidel,2,0.9053,,,,,Two-stage Gauss-Seidel,4,,0.9597,,,,2.360936,5.40768,TRUE
59,,,,,1,12.7268,108,Two-stage Gauss-Seidel,1,,0.9424,,,,inf,inf,FALSE
60,MT Gauss-Seidel,1,0.943,,,,,Two-stage Gauss-Seidel,3,,0.9064,,,,2.458732,5.47952,TRUE
61,MT Gauss-Seidel,1,0.9402,,,,,Two-stage Gauss-Seidel,4,,1.0064,,,,2.451202,5.28291,TRUE
62,MT Gauss-Seidel,2,1.0259,,,,,Two-stage Gauss-Seidel,2,,0.9415,,,,inf,inf,FALSE
63,,,,,1,22.2006,101,MT Gauss-Seidel,1,1.0556,,,,,10.85199,15.5844,TRUE
64,Two-stage Gauss-Seidel,2,,1.1419,,,,Two-stage Gauss-Seidel,3,,0.9486,,,,inf,inf,FALSE
65,MT Gauss-Seidel,1,0.9552,,,,,Two-stage Gauss-Seidel,3,,1.0513,,,,2.550943,5.66707,TRUE
66,,,,,2,13.1436,85,,,,,3,18.2029,107,inf,inf,FALSE
67,,,,,1,24.0521,110,,,,,3,14.8927,105,inf,inf,FALSE
68,MT Gauss-Seidel,2,1.0179,,,,,MT Gauss-Seidel,1,0.9663,,,,,2.513174,5.99625,TRUE
69,Two-stage Gauss-Seidel,2,,0.8391,,,,MT Gauss-Seidel,2,1.1526,,,,,inf,inf,FALSE
70,MT Gauss-Seidel,2,0.9395,,,,,Two-stage Gauss-Seidel,1,,0.9301,,,,2.503408,5.87823,TRUE
71,MT Gauss-Seidel,1,1.1524,,,,,Two-stage Gauss-Seidel,1,,0.8071,,,,4.208098,8.02855,TRUE
72,,,,,1,16.0345,114,,,,,3,11.8725,113,inf,inf,FALSE
73,MT Gauss-Seidel,1,1.0518,,,,,Two-stage Gauss-Seidel,1,,1.141,,,,7.413956,11.9316,TRUE
74,Two-stage Gauss-Seidel,1,,1.034,,,,,,,,4,11.9384,98,inf,inf,FALSE
75,,,,,2,28.8365,93,MT Gauss-Seidel,4,1.0205,,,,,5.75835,9.36436,TRUE
76,,,,,2,13.5153,101,MT Gauss-Seidel,2,1.0469,,,,,12.70605,17.9365,TRUE
77,,,,,1,14.667,95,,,,,4,18.5008,99,inf,inf,FALSE
78,Two-stage Gauss-Seidel,1,,0.9574,,,,MT Gauss-Seidel,1,0.9817,,,,,inf,inf,FALSE
79,Two-stage Gauss-Seidel,1,,1.1818,,,,Two-stage Gauss-Seidel,1,,0.9335,,,,inf,inf,FALSE
80,,,,,1,22.7614,117,Two-stage Gauss-Seidel,4,,0.9542,,,,inf,inf,FALSE
81,,,,,1,20.1319,106,,,,,3,14.891,82,inf,inf,FALSE
82,MT Gauss-Seidel,2,0.8365,,,,,MT Gauss-Seidel,4,1.0152,,,,,2.545667,5.85695,TRUE
83,MT Gauss-Seidel,2,0.8851,,,,,Two-stage Gauss-Seidel,1,,0.8722,,,,2.330718,5.26272,TRUE
84,Two-stage Gauss-Seidel,2,,1.1341,,,,,,,,1,22.4944,90,inf,inf,FALSE
85,MT Gauss-Seidel,1,1.0361,,,,,,,,,3,11.2004,118,5.20541,9.32742,TRUE
86,,,,,2,29.8179,83,MT Gauss-Seidel,4,0.9904,,,,,inf,inf,FALSE
87,,,,,1,24.5648,102,MT Gauss-Seidel,4,0.9554,,,,,inf,inf,FALSE
88,Two-stage Gauss-Seidel,1,,1.0413,,,,Two-stage Gauss-Seidel,4,,0.8933,,,,inf,inf,FALSE
89,MT Gauss-Seidel,2,1.0205,,,,,Two-stage Gauss-Seidel,2,,1.0179,,,,2.493947,5.69891,TRUE
90,Two-stage Gauss-Seidel,2,,1.0209,,,,MT Gauss-Seidel,3,0.9262,,,,,inf,inf,FALSE
91,Two-stage Gauss-Seidel,2,,0.9873,,,,MT Gauss-Seidel,1,1.0924,,,,,inf,inf,FALSE
92,MT Gauss-Seidel,2,1.0994,,,,,MT Gauss-Seidel,2,1.1254,,,,,4.49373,8.48589,TRUE
93,Two-stage Gauss-Seidel,2,,1.05,,,,MT Gauss-Seidel,3,1.1279,,,,,inf,inf,FALSE
94,,,,,2,24.3089,108,MT Gauss-Seidel,3,0.8032,,,,,inf,inf,FALSE
95,,,,,1,17.7758,106,,,,,3,13.5566,85,inf,inf,FALSE
96,,,,,2,12.463,86,MT Gauss-Seidel,1,0.9207,,,,,8.16161,12.2779,TRUE
97,Two-stage Gauss-Seidel,1,,0.8972,,,,,,,,3,19.3402,115,inf,inf,FALSE
98,,,,,1,29.8361,93,MT Gauss-Seidel,2,0.9176,,,,,6.121586,9.68027,TRUE
99,Two-stage Gauss-Seidel,2,,1.0088,,,,MT Gauss-Seidel,2,0.9195,,,,,inf,inf,FALSE
