iter_id,1::relaxation: type,1::relaxation: sweeps,1::relaxation: damping factor,1::relaxation: inner damping factor,1::chebyshev: degree,1::chebyshev: ratio eigenvalue,1::chebyshev: eigenvalue max iterations,4::relaxation: type,4::relaxation: sweeps,4::relaxation: damping factor,4::relaxation: inner damping factor,4::chebyshev: degree,4::chebyshev: ratio eigenvalue,4::chebyshev: eigenvalue max iterations,time_NOX,time_AlbanyTotal,passed
0,MT Gauss-Seidel,1,1.0538,,,,,,,,,1,24.1153,80,inf,inf,FALSE
1,Two-stage Gauss-Seidel,2,,0.8956,,,,,,,,2,23.1638,104,inf,inf,FALSE
2,MT Gauss-Seidel,2,0.821,,,,,,,,,1,20.5499,93,2.626469,6.00364,TRUE
3,Two-stage Gauss-Seidel,2,,0.9478,,,,,,,,4,17.1531,103,inf,inf,FALSE
4,Two-stage Gauss-Seidel,2,,0.8837,,,,,,,,2,17.3046,84,inf,inf,FALSE
5,MT Gauss-Seidel,1,0.9782,,,,,,,,,4,25.2435,87,inf,inf,FALSE
6,,,,,1,27.7108,99,MT Gauss-Seidel,1,0.9922,,,,,12.34277,17.9291,TRUE
7,MT Gauss-Seidel,1,1.0479,,,,,,,,,3,20.4996,80,inf,inf,FALSE
8,MT Gauss-Seidel,1,0.888,,,,,Two-stage Gauss-Seidel,4,,0.9097,,,,2.686321,5.9357,TRUE
9,,,,,1,13.7613,90,,,,,2,15.6649,91,inf,inf,FALSE
10,Two-stage Gauss-Seidel,1,,0.8788,,,,Two-stage Gauss-Seidel,1,,1.0859,,,,inf,inf,FALSE
11,Two-stage Gauss-Seidel,1,,1.0602,,,,MT Gauss-Seidel,4,0.8838,,,,,inf,inf,FALSE
12,MT Gauss-Seidel,2,1.1162,,,,,Two-stage Gauss-Seidel,1,,1.1516,,,,inf,inf,FALSE
13,,,,,1,19.6794,104,,,,,4,16.8529,118,inf,inf,FALSE
14,,,,,1,21.8952,115,MT Gauss-Seidel,4,1.0599,,,,,inf,inf,FALSE
15,MT Gauss-Seidel,1,0.8036,,,,,Two-stage Gauss-Seidel,3,,0.9708,,,,2.527875,5.85156,TRUE
16,,,,,1,23.5084,117,,,,,1,13.1752,92,inf,inf,FALSE
17,MT Gauss-Seidel,1,1.1032,,,,,MT Gauss-Seidel,4,1.0617,,,,,inf,inf,FALSE
18,Two-stage Gauss-Seidel,1,,1.0192,,,,,,,,4,20.3433,95,inf,inf,FALSE
19,Two-stage Gauss-Seidel,2,,0.8302,,,,MT Gauss-Seidel,3,1.0245,,,,,inf,inf,FALSE
20,,,,,1,11.7248,102,MT Gauss-Seidel,2,1.1923,,,,,14.21751,20.1349,TRUE
21,MT Gauss-Seidel,1,0.8879,,,,,MT Gauss-Seidel,2,1.1412,,,,,2.265782,5.26364,TRUE
22,Two-stage Gauss-Seidel,1,,1.063,,,,Two-stage Gauss-Seidel,3,,0.9392,,,,inf,inf,FALSE
23,,,,,2,12.5018,109,MT Gauss-Seidel,4,1.0105,,,,,inf,inf,FALSE
24,MT Gauss-Seidel,1,1.0263,,,,,MT Gauss-Seidel,4,0.9214,,,,,inf,inf,FALSE
25,,,,,1,21.6053,97,,,,,4,26.7784,103,inf,inf,FALSE
26,,,,,2,29.091,113,Two-stage Gauss-Seidel,1,,1.1247,,,,10.02373,13.7515,TRUE
27,Two-stage Gauss-Seidel,2,,1.0808,,,,MT Gauss-Seidel,2,1.0094,,,,,inf,inf,FALSE
28,MT Gauss-Seidel,2,1.1373,,,,,MT Gauss-Seidel,2,1.0458,,,,,3.97097,6.88494,TRUE
29,Two-stage Gauss-Seidel,1,,1.0369,,,,,,,,1,10.2599,86,inf,inf,FALSE
30,Two-stage Gauss-Seidel,1,,1.0875,,,,,,,,3,13.0626,108,inf,inf,FALSE
31,MT Gauss-Seidel,2,0.9152,,,,,MT Gauss-Seidel,3,1.1027,,,,,2.360903,5.41704,TRUE
32,MT Gauss-Seidel,2,1.1423,,,,,Two-stage Gauss-Seidel,1,,1.0177,,,,inf,inf,FALSE
33,Two-stage Gauss-Seidel,2,,0.9037,,,,,,,,2,15.7691,98,inf,inf,FALSE
34,Two-stage Gauss-Seidel,1,,0.8752,,,,,,,,4,13.0152,88,inf,inf,FALSE
35,Two-stage Gauss-Seidel,1,,0.8881,,,,Two-stage Gauss-Seidel,1,,1.0756,,,,inf,inf,FALSE
36,,,,,2,28.2737,95,MT Gauss-Seidel,3,0.8797,,,,,12.67419,17.7741,TRUE
37,MT Gauss-Seidel,1,0.9597,,,,,MT Gauss-Seidel,2,0.8905,,,,,2.499166,5.74189,TRUE
38,Two-stage Gauss-Seidel,1,,0.981,,,,,,,,1,14.9405,94,inf,inf,FALSE
39,,,,,1,25.6214,120,,,,,1,21.7659,116,inf,inf,FALSE
40,,,,,1,29.3114,84,,,,,2,22.0013,95,inf,inf,FALSE
41,Two-stage Gauss-Seidel,1,,1.1007,,,,Two-stage Gauss-Seidel,1,,1.0579,,,,inf,inf,FALSE
42,,,,,1,18.4088,104,Two-stage Gauss-Seidel,4,,0.8095,,,,12.05823,16.6956,TRUE
43,Two-stage Gauss-Seidel,2,,0.9649,,,,MT Gauss-Seidel,3,0.8559,,,,,inf,inf,FALSE
44,MT Gauss-Seidel,1,0.9592,,,,,MT Gauss-Seidel,3,1.0661,,,,,2.433321,5.38546,TRUE
45,,,,,1,21.174,100,,,,,3,28.3375,95,inf,inf,FALSE
